fouc,Fuck off you cunt
rotfwlmao,rolling on the floor while laughing my ass off
bm4l,best mates for life
mohaa,Medal of Honor Allied Assult
wygac,when you get a chance
hiybbprqag,copying somebody else's search results
ysati,you suck at the internet
myke,man-dyke
btch,bitch
lezzzie,lesbian
btcn,Better than Chuck Norris
faic,For All I Care
pz,peace
qft&gj,quoted for truth and great justice
foss,"free, open source software"
nub,inexperienced person
r.i.p,Rest in peace
aysm,are you shitting me?
ggp,gotta go pee
gdih,Go die in hell
gosad,go suck a dick
omwts,on my way to school
uryyfm,you are too wise for me
sorta,sort of
iirc,if I recall correctly
irt,in reply to
damhikt,don't ask me how I know this
eotw,end of the world
whats ^,whats up
c2c,care to chat?
r,are
irl,in real life
yew,you
2morro,tomorrow
mul,miss you lots
tbqf,to be quite frank
irc,internet relay chat
url8,you are late
ttm,talk to me
jfwy,just fucking with you
oink,Oh I Never Knew
ydufc,Why do fucking care?
jcam,just checking away message
tmth,too much to handle
suka,Sucker
fiik,Fucked If I Know
newb,someone who is new
omj,oh my jesus
gnfpwlbn,good news for people who love bad news
skwl,school
cmplcdd,complicated
shexi,sexy
umfriend,sexual partner
fiic,Fucked If I Care
shizz,shit
fugly,fucking ugly
cfas,care for a secret?
omw,on my way
jj/k,just joking
g4y,good for you
wth,what the heck
lawls,laughing out loud with a southern drawl
wtfit,what the fuck is that
lmap,leave me alone please
wy,Why?
wtbh,What the bloody hell
UFIC,Unsolicited Finger in Chili
cos,because
tfti,thanks for the information
unt,until next time
wtfwtd,what the fuck was that dude
ashole,asshole
smfpos,stupid mother fucking piece of shit
coz,because
bbifs,be back in a few seconds
fny,funny
ili,i love it
g3y,gay
gigig,get it got it good
cob,close of business
cod,Call of Duty
tt4n,ta ta for now
cof,Crying on the floor
pita,pain in the ass
gsad,go suck a dick
brah,brother
ybbg,Your Brother By Grace
col,crying out loud
coo,cool
ily,i love you
yatb,you are the best
nmjb,nothing much just bored
iygm,if you get me
tut,take your time
tmnt,teenage mutant ninja turtles
foobar,fucked up beyond all recognition
fkin,fucking
kwl,cool
o/y,oh yeah
ggal,go get a life
yaai,You are an idiot
yduwtk,why do you want to know
sah,sexy as hell
p3n0r,penis
diff,difference
stg,swear to god
omgty,Oh my god thank you
ihat3u,I hate you
idop,it depends on price
of10,often
tcp/ip,transmission control protocol/internet protocol
g'nite,good night
sploits,exploits
frk,freak
noes,no
gn8,good night
gtfon,Get the fuck out noob
gtfoi,get the fuck over it
frm,from
pihb,pee in his/her butt
fuah,fuck you ass hole
mpih,my penis is hard
wuld,would
nayl,in a while
smithwaws,Smack me in the head with a wooden spoon
4us,for us
awsm,awesome
w/u,with you
lifo,last in first out
lolci,"laughing out loud, crying inside"
hsik,how should i know
f00k,Fuck.
wotv,What's on Television?
otfl,on the floor laughing
dotc,dancing on the ceiling
wazza,what's up
chut,pussy
otfp,on the fucking phone
otft,over the fucking top
lofi,uncool
mcs,My computer sucks
kotc,kiss on the cheek
cunt,vagina
abft,About Fucking Time
gnr,Guns n' roses
idrgaff,i don't really give a flying fuck
ihnc,i have no clue
qoolz,cool
hnic,head nigger in charge
gyal,girl
ihni,i have no idea
m4f,male for female
sellin,selling
roflmao,rolling on the floor laughing my ass off
slp,sleep
iw2mu,I want to meet you
aim,AOL instant messanger
idkh2s,i don't know how to spell
j/c,just curious
dkdc,"don't know, don't care"
biznitch,bitch
b-day,birthday
rtbq,Read The Blinking Question
slf,sexy little fuck
gnn,get naked now
gno,going to do
tanq,thank you
iz,is
n2n,need to know
n2m,not too much
ftmp,For the most part
n2g,Not too good
bfftddup,best friends forever till death do us part
ilshipmp,I laughed so hard I peed my pants
nfbsk,not for british school kids
ih,it happens
ik,i know
ij,indide joke
im,Instant Message
shiznit,shit
ilyf,I'll Love You Forever
gkys,Go kill yourself
nekkid,naked
ic,I see
hbd,happy birthday
ilyl,i love you loads
ilym,i love you more
ig,I guess
jebus,Jesus
hldn,hold on
npi,no pun intended
f4c3,face
ianars,I am not a rocket scientist
pliz,please
wanking,Masturbating
ttynl,talk to you never loser
dftba,don't forget to be awesome
ccna,Cisco Certified Network Associate
ggnore,good game no rematch
pasii,put a sock in it
dhv,Demonstration of Higher Value
shawty,girl
j/o,jackoff
mcse,Microsoft Certified Systems Engineer
uradrk,you're a dork
wthiwwu,What the hell is wrong with you
ttul8r,Talk to you later
dpmo,don't piss me off
i8,alright
evry1,every one
ello,hello
jkz,jokes
cul8r,See You Later
kis,keep it simple
kir,kid in room
x treme,extreme
aightz,alright
ayok,are you okay
cw2cu,can`t wait to see you
iykwim,if you know what I mean
jks,jokes
jkl,just kidding loser
jkn,joking
smdb,suck my dick bitch
sumtin,something
kic,keep it clean
kib,"okay, im back"
kia,Killed In Action
kig,keep it going
drc,don't really care
th@,that
ommfg,oh my mother fucking god
joor,your
thz,thank you
wtbd,what's the big deal
thx,thank you
fker,fucker
istg,i swear to god
thr,there
yas,you are stupid
tho,though
miltf,Mom I'd like to fuck
neday,any day
jooc,just out of curiosity
sgtm,slightly gigling to myself
myodb,mind your own damn business
ypmo,you piss me off
dadt,Don't ask. Don't tell.
llap,live long and prosper
probly,probably
tha,the
epa,Emergency Parent Alert
icbyst,i cant believe you said that
juss,just
bb4n,Bye-bye for now
l8t,later
bb4h,bros before hoes
l8r,see you later
goomh,get out of my head
yea,yeah
noty,no thank you
fxp,file exchange protocol
wwyd2m,what would you do to me
n e,any
psbms,parent standing by my side
lmaomtoaoa,Laugh my ass off many times over and over again
l8a,later
kthx,"ok, thank you"
fmfl,Fuck my Fucking life
sleepn,sleeping
upia,unsolicited pencil in anus
is2g,i swear to god
thankx,thank you
toya,thinking of you always
ywic,why would i care
hai,hello
wtfdik,what the fuck do i know
hak,here's a kiss
qte,cutie
elo,hello
han,how about now
omfg,oh my fucking god
1sec,one second
bnr,banner
u4i,up for it
b/s/l,Bisexual/Straight/Lesbian
istr,I seem to remember
rsps,Runescape Private Server
hax,Hacks
5o,police
5n,fine
str8up,straight up
rts,Real-time strategy
bng,being
hau,How Are You
hav,have
53x,sex
roflol,rolling on floor laughing out loud
bbol,be back online later
brt,be right there
stpd,stupid
mayb,maybe
xs,excess
gtfu,grow the fuck up
lmmfao,laughing my mother fucking ass off
m8s,mates
r8p,rape
miq,make it quick
lmmfas,laugh my mother fuckin ass off
roflmgdao,rolling on the floor laughing my god damn ass off
wip,Work In progress
ibcd,Idiot between chair & desk
nnfaa,no need for an apology
nafkam,Not Away From Keyboard Any More
tmrz,tomorrow
rnt,aren't
yqw,you're quite welcome
gbnf,Gone but not forgotten
tilf,Teenager I'd Like To Fuck
tliwwv,this link is worthless without video
cexy,sexy
xp,experience
u've,You've
sfipmp,so funny I peed my pants
any1,Anyone
icbiwoop,"I chuckled, but it was out of pity."
n2mu,"not too much, you?"
nimby,not in my backyard
wyhi,Would You Hit It?
nmhwby,nothing much here what about you
lmsao,laughing my sexy ass off
nofi,No Flame Intended
rotflmbo,rolling on the floor laughing my butt off
g2gpp,got to go pee pee
teh,the
idgac,i don't give a crap
idgad,I don't give a damn
pwned,made to look bad
idgaf,i don't give a fuck
pl8,plate
sktr,skater
@$$hole,asshole
sploitz,exploits
g2gpc,got 2 go parents coming
ntstt,not safe to talk
wwc,who would care
gypo,Get Your Penis Out
nevm,never mind
yolt,you only live twice
bord,bored
n00bs,newbies
wha,what?
yvfw,you're very fucking welcome
fov,Field of View
sux2bu,sucks to be you
shut^,shut Up
idkymb2,I didn't know yoru mom blogs too
rubz2nt,are you busy tonight
fos,full of shit
anim8,animate
icb,I can't believe
yki,You know it
fmph,fuck my pussy hard
ikic,I know I can
brbs,be right back soon
ilylc,i love you like crazy
brb,be right back
otp,on the phone
oh noes,oh shit!
brbl,be right back later
lhsrn,let's have sex right now
fo`,for
cnc,Command and Conquer
fob,fresh off the boat
sfw,safe for work
fol,farting out loud
icr,I can't rememer
foo,fool
icw,I care why?
wsop,world series of poker
icu,i see you
gsfg,Go search fucking google
f.m.l.,fuck my life
pking,player killing
sfu,shut the fuck up
lobfl,Laugh Out Bloody Fucking Loud
g2bg,got to be going
m$,Microsoft
sfr,so fucking random
bfam,brother from another mother
plz,please
mmatp,meet me at the park
plx,please/thanks
hsr,homestar runner
hss,horse shit and splinters
promos,promotions
kthxbai,ok thanks bye!
q2c,quick to cum
tk2ul,talk to you later
liyf,laughing in your face
ss,screenshot
mmatc,meet me around the corner
ihurg,i hate your guts
obo,or best offer
obl,osama bin laden
f/o,fuck off
obj,Object
bytch,bitch
wubmgf,Will You Be My Girlfriend?
swt,sweet
ytmnd,"You're the man now, dog!"
oe,or else
www,world wide web
jklol,Just Kidding Laughing Out Loud
pnhlgd,"parents not home, let's get dirty"
whtevr,whatever
o,Oh
cbfed,can't be fucked
tgwig,thank god wife is gone
ptfo,passed the fuck out
vrsty,Varsity
sk8ter,skater
obv,obviously
ru,are you
wtg,way to go
sxcy,sexy
mtl,more than likely
soa,service oriented architecture
liec,like i even care
soc,Same old crap
sob,son of a bitch
soe,service oriented enterprise
whr,where
od,over dose
soi,service oriented infrastructure
liek,like
lggd,let's go get drunk
whs,wanna have sex
ijr,i just remembered
soo,So
ppl,people
sop,same old place
sos,same old shit
ferr,For
sot,suck on this
cuom,see you on monday
soz,sorry
atfp,answer the fucking phone
b0rked,broken
uayor,Use At Your Own Risk
giv,give
wam,wait a minute
tlkn,talking
dewd,Dude
gir,google it retard
wai,what an idiot
lolocost,laugh out loud
waf,weird as fuck
tmaai,tell me all about it
nevr,never
tat,that
cwot,complete waste of time
omdz,Oh My Days
gaalma,go away and leave me alone
waz,what is
thwdi,thats how we do it
tmoro,tomorrow
yhew,you
fuh-q,fuck you
wat,what
mwsmirl,maybe we should meet in real life
yid,"yes, I do"
rele,really
g2p,got to pee
inmp,it's not my problem
wtfayd,what the fuck are you doing
wysitwirl,what you see is totally worthless in real life
frgt,forgot
z0mg,oh my god
ure,you are
oll,online love
m2,me too
bffene,Best Friends For Ever And Ever
mpty,more power to you
yaaf,you are a fag
ilu2,I love you too
urg,you are gay
wlcb,welcome back
aypi,and your point is
beech,bitch
iswydt,i see what you did there
t8st,taste
s8ter,skater
wswta,What shall we talk about?
snogged,kissed
wwe,World Wrestling Entertainment
lolin,laughing out loud
p33n,penis
rb@u,right back at you
azn,asian
mtr,matter
mfah,motherfucking asshole
ttywl,Talk to you way later
abwt,about
beyatch,Bitch
lawd,lord
azz,ass
tisc,that is so cool
afcpmgo,away from computer parents may go on
attotp,At The Time Of This Post
n2bb,nice to be back
attn,attention
whyd,What Have You Done
ofcol,oh for crying out loud
mtf,More to Follow
mtg,Meeting
s.o.b.,son of a bitch
a1t,anyone there
wtvr,whatever
lgbnaf,lets get butt naked and fuck
fomofo,fuck off mother fucker
gtgtpirio,got to go the price is right is on
l8,late
goyhh,get off your high horse
watevr,whatever
kmsl,killing myself laughing
kwik,quick
rr,rest room
qed,I've made my Point
h+k,hugs and kisses
ddos,Distributed Denial of Service
secksy,sexy
t2ul,talk to you later
kwis,Know what I'm saying?
vwd,very well done
2h4u,too hot for you
iyam,if you ask me
nnr,no not really
kwiz,quiz
ilymtyk,i love you more than you know
ni,no idea
leet,elite
idgas,i don't give a shit
tix,tickets
nm,not much
nn,good night
na,not applicable
nb,not bad
nc,not cool
nd,and
ne,any
nf,not funny
ng,nice game
mmk,"umm, ok"
c2tc,cut to the chase
miself,myself
wudn,what you doing now
jms,just making sure
kyms,keep your mouth shut
nq,Thank you
nr,no reserve
ns,nice
nt,nice try
nu,new
nv,envy
nw,no way
diez,dies
wombat,"waste of money, brains, and time"
ygp,you got  punked!
wtfiwwy,what the fuck is wrong with you
wtfiwwu,what the fuck is wrong with you
wrtg,writing
cnt,can't
5h17,Shit
syatp,see you at the party
kkthnxbye,okay thanks bye
lezbean,lesbian
sotc,stupid off topic crap
aslp,"age, sex, location, picture"
hiik,Hell If I Know
aslr,age sex location race
mfer,motherfucker
fse,Funniest Shit Ever
iwmy,i will miss you
iyss,if you say so
shtf,shit hits the fan
cmomc,call me on my cell
fsm,flying spaghetti monster
tdtm,Talk Dirty To Me
bizi,Busy
fsr,for some reason
fst,fast
ilygsm,i love you guys so much
idnk,i don't know
n1,nice one
n2,into
